city,month,date,temp_min,temp_max,precipitation
Mont Saint Michel,2024-01,2024-01-16 00:00:00,2.235483870967742,8.396774193548387,2.8
Mont Saint Michel,2024-02,2024-02-15 00:00:00,7.144827586206896,11.924137931034483,3.813793103448276
Mont Saint Michel,2024-03,2024-03-16 00:00:00,5.445161290322581,12.738709677419354,2.509677419354839
Mont Saint Michel,2024-04,2024-04-15 12:00:00,7.180000000000001,14.5,2.3
Mont Saint Michel,2024-05,2024-05-16 00:00:00,10.135483870967741,17.345161290322583,3.6451612903225805
Mont Saint Michel,2024-06,2024-06-15 12:00:00,11.136666666666667,19.040000000000003,1.24
Mont Saint Michel,2024-07,2024-07-16 00:00:00,13.903225806451612,21.461290322580645,2.767741935483871
Mont Saint Michel,2024-08,2024-08-16 00:00:00,15.029032258064515,23.24516129032258,1.8774193548387097
Mont Saint Michel,2024-09,2024-09-15 12:00:00,12.129999999999999,18.886666666666667,4.2733333333333325
Mont Saint Michel,2024-10,2024-10-16 00:00:00,10.438709677419356,16.990322580645163,3.729032258064516
Mont Saint Michel,2024-11,2024-11-15 12:00:00,7.463333333333334,12.733333333333333,3.256666666666667
Mont Saint Michel,2024-12,2024-12-16 00:00:00,5.54516129032258,10.03225806451613,2.7580645161290325
St Malo,2024-01,2024-01-16 00:00:00,-14.558064516129033,-7.354838709677419,0.5967741935483871
St Malo,2024-02,2024-02-15 00:00:00,-9.358620689655172,-0.6206896551724138,0.8758620689655173
St Malo,2024-03,2024-03-16 00:00:00,-9.04516129032258,1.6419354838709677,0.49677419354838703
St Malo,2024-04,2024-04-15 12:00:00,-0.09333333333333334,12.156666666666666,1.3633333333333333
St Malo,2024-05,2024-05-16 00:00:00,7.090322580645162,16.94193548387097,3.7483870967741937
St Malo,2024-06,2024-06-15 12:00:00,11.696666666666665,21.583333333333332,3.14
St Malo,2024-07,2024-07-16 00:00:00,16.087096774193547,26.293548387096774,3.7451612903225806
St Malo,2024-08,2024-08-16 00:00:00,15.006451612903225,24.45483870967742,4.725806451612903
St Malo,2024-09,2024-09-15 12:00:00,14.066666666666666,23.82,2.4433333333333334
St Malo,2024-10,2024-10-16 00:00:00,4.448387096774193,14.138709677419355,0.9225806451612902
St Malo,2024-11,2024-11-15 12:00:00,-3.6266666666666665,3.216666666666667,1.8833333333333333
